airtable_record_id,createdTime,Item-ID (SKU),Status Import,Article Name (Displayed),Description,Stock Amount,Stock - Amount Sold,Stock - Remaining,Stock - Status,Source,Category,Supplier,Item-Number (Supplier Logic),Item-Name (Supplier Logic),Item Link (Supplier Logic),Exhibitor Shop - Item (True/False),Exhibitor Shop - Product Visibility,Exhibitor Shop - Item Order,Exhibitor Shop - Purchase note to customer (extern),Exhibitor Shop - Stock Tracking (True/False),Exhibitor Shop - Status,Price - Net EK,Price - Brutto EK,Umlagefähige Kosten,Price - Margin,Price - Minimum,Price - Selling Price (Net),Price Formula Field,VAT rate (%),Exhibitor Shop - Product URL,Exhibitor Shop - Attribute,Exhibitor Shop - Attribute Name,Exhibitor Shop - Attribute Value,Price - Discount Max Range,Price - Discount Max Range (%),Comment (Internal),TO BE CREATED - LINK TO BUNDLE,Product-Data (Bundles),Record_ID,Front Picture (files),Gallery Pictures (files),AI assist (files),Bild (files)
rec3EcM2CWOqqJrCu,2025-06-23T16:59:49.000Z,I-39709,Imported,All-Inclusive Stand – Premium (18qm),"Dieser Stand inkludiert: 
- 18qm Grundfläche 
- 6m Rückwand (bedruckt mit Stoffbanner) 
- 2x Bar-Tisch 
- 4x Bar-Hocker
- 1x Tresen
- 18qm Teppich Standard
- Stromanschluss (230V) 
- Standbeleuchtung
- Standreinigung (Einmalig vor erstem Öffnungstag)",20,,20,instock,Hubspot,Standflaeche,ChefTreff,,,,,,,,,,,0,,0.2,0,18900,0,7,,,,,18900,100,,,I-39709,rec3EcM2CWOqqJrCu,,,,
rec3T8MIYwo7OTajv,2025-06-19T13:25:26.000Z,I-89910,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,rec3T8MIYwo7OTajv,,,,
rec4Iv0GMzIP2sgyw,2025-06-19T13:25:26.000Z,I-87639,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,0,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,rec4Iv0GMzIP2sgyw,,,,
rec4R9bL4twnWTHB1,2026-01-20T12:33:25.000Z,I-41370,Imported,Coca-Cola 12x 1 ltr Kiste,"Coca-Cola, Paket mit 12 Flaschen à 1 Liter.",50,,50,instock,Messe-Shop,Standgastronomie,Kaefer,1546,"Coca-Cola, Paket mit 12 Flaschen à 1 Liter.",,TRUE,Visible,,,,publish,48.01,57.131899999999995,,0.12,53.7712,53.8,53.7712,7,,,,,0.028799999999996828,0.053531598513005256,,,,rec4R9bL4twnWTHB1,"71ZoptmlbUL._AC_UF1000,1000_QL80_.jpg","71ZoptmlbUL._AC_UF1000,1000_QL80_.jpg",,"71ZoptmlbUL._AC_UF1000,1000_QL80_.jpg"
rec4rCrrsilbC4fZt,2025-06-23T16:59:45.000Z,I-50131,Imported,All-Inclusive Stand – General (9qm),"Dieser Stand inkludiert: 
- 9qm Grundfläche 
- 3m Rückwand (bedruckt mit Stoffbanner) 
- 2x Bar-Tisch 
- 4x Bar-Hocker
- 9qm Teppich Standard
- Stromanschluss (230V) 
- Standbeleuchtung
- Standreinigung (Einmalig vor erstem Öffnungstag)",50,,50,instock,Hubspot,Standflaeche,ChefTreff,,,,,,,,,,,0,,0.2,0,11900,0,7,,,,,11900,100,,,I-50131,rec4rCrrsilbC4fZt,,,,
rec5MGal2IOywUBQK,2025-06-19T13:25:26.000Z,I-43128,Imported,Kühlschrank mit Glastür (360L),"Moderner und praktischer Kühlschrank mit Glastür, ideal für die Präsentation und Kühlung von Getränken oder Snacks. Mit einem Fassungsvermögen von 360 Litern, drei Einlegeböden und einer mobilen, fahrbaren Konstruktion bietet er Flexibilität und Funktionalität. Perfekt für deinen Messestand, um Gäste stilvoll zu bewirten.",16,,16,instock,Messe-Shop,Standgastronomie,PartyRent,1749,Kühlschrank mit Glastür (360L),https://www.party.rent/de/product/kühlschrank-mit-glastür-360-ltr-fahrbar-mit-3-einlegeböden-1749,TRUE,Visible,,,,publish,105.01,124.9619,,0.2,126.012,126,126.012,7,,,,,-0.012000000000000455,-0.009523809523809884,,,,rec5MGal2IOywUBQK,kühl.jpg,kügl3.jpg; kühl.jpg; kühl2.jpg,,
rec5gulFYpj9pOcSL,2025-07-24T10:31:38.000Z,I-95685,,Standreinigung ,Reinigung des Standes einmalig vor Messebeginn ,,,0,outofstock,Hubspot,Nebenkosten,ChefTreff,,,,,,,,,,,0,,0.2,0,,0,7,,,,,0,"{""specialValue"": ""NaN""}",,,,rec5gulFYpj9pOcSL,,,,
rec5yPdrZRlxe9f7V,2025-09-02T08:41:23.000Z,I-15248,Imported,Skill & Mindset Stage Panel,"45 Minuten Slot 
",16,,16,instock,Hubspot,Stage Products,,,,,,,,,,,,0,,0.2,0,3900,0,7,,,,,3900,100,,,,rec5yPdrZRlxe9f7V,,,,
rec6GVP4VUlt8pxZr,2025-06-19T13:25:26.000Z,I-83142,Imported,Mini Franzbrötchen,"Hamburgs Klassiker für euren Stand, zieht nur nicht nur Hamburger Talente magisch an! Direkt an den Stand geliefert inkl. Zange und Servietten zum servieren. Preis gilt für 500 Mini Franzbrötchen (250 pro Tag), jeden morgen frisch geliefert. Tipp: Bucht euch am besten einen Stehtisch dazu, um die Gebäcke zu präsentieren. Hinweis, die Franzbrötchen sind keine normalen Franzbrötchen sondern kleine, sie wiegen im Schnitt 25 gramm pro Stück.",5,,5,instock,Messe-Shop,Standgastronomie,Kaefer,53026,Mini-Franzbrötchen,https://www.standcatering-hamburg.com/Produkte/Speisen-Messe/Kuchen-Gebaeck/Mini-Franzbroetchen,TRUE,Visible,,,,publish,1100,1309,,0.2,1320,1320,1320,7,,,,,0,0,Mit Zange & Servietten bestellen + 250 pro Tag (nicht 500 auf einmal),,,rec6GVP4VUlt8pxZr,Minifranz.png,BO9A9092-1024x682.jpg; BO9A9488-1024x682 (1).jpg,,
rec6Xq0A9kbMNdRwU,2026-01-20T12:33:25.000Z,I-25180,Imported,Bismarck classic 12x 1 ltr,"Bismarck classic Mineralwasser, Paket mit 12 Flaschen à 1 Liter.",50,,50,instock,Messe-Shop,Standgastronomie,Kaefer,2222,"Bismarck classic Mineralwasser, Paket mit 12 Flaschen à 1 Liter.",,TRUE,Visible,,,,publish,30.01,35.7119,,0.12,33.611200000000004,33.6,33.611200000000004,7,,,,,-0.01120000000000232,-0.03333333333334023,,,,rec6Xq0A9kbMNdRwU,fuerst_bismarck_classic_1_0l_zw_kiste1.jpg,fuerst_bismarck_classic_1_0l_zw_kiste1.jpg,,fuerst_bismarck_classic_1_0l_zw_kiste1.jpg
rec6neh9OZBkzTOYx,2025-06-19T13:25:26.000Z,I-42990,Imported,Olivenbusch ,"Eleganter, schlank wachsender Olivenbusch im Topf. Perfekt, um mediterranes Flair auf deinen Messestand zu bringen. Pflegeleicht und ein echter Hingucker! Inkl. schickem Korb als Topf.",10,,10,instock,Messe-Shop,Pflanzen,Pflanzen Ludwig,,Olivenbusch (mit Korbtopf),https://www.pflanzenvermietung-ludwig.de/pflanzenverleih/mietpflanzen.html,TRUE,Visible,,,,publish,80,95.19999999999999,,0.2,96,96,96,7,,,,,0,0,,,,rec6neh9OZBkzTOYx,olinusch.jpg,Image_January_14_2026_4_21_PM-v1.webp; Image_January_14_2026_4_21_PM-v2.webp; Image_January_14_2026_4_21_PM-v3.webp,Image_January_14_2026_4_21_PM-v1.webp; Image_January_14_2026_4_21_PM-v2.webp; Image_January_14_2026_4_21_PM-v3.webp,mini-olive-busch-b0177-info-5660.png
rec6t9GIlo7U8sTLU,2025-06-19T13:25:26.000Z,I-64772,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,0,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,rec6t9GIlo7U8sTLU,,,,
rec7tSp0McaWteNO9,2025-06-23T16:56:05.000Z,I-21110,Imported,Topic Stage Speaking,"30 Minuten Slot 
",64,,64,instock,Hubspot,Stage Products,ChefTreff,,,,TRUE,,,,,,,0,,0.2,0,5900,0,7,,,,,5900,100,,,,rec7tSp0McaWteNO9,,,,
rec7znvZg5sHFa0U2,2025-06-20T10:59:41.000Z,I-43989,,Wasserversorgung (fest),"Direkter Wasseranschluss am Stand, komfortable und zuverlässige Lösung für Catering oder Exponate.",,,0,outofstock,Hubspot, Infrastruktur – Versorgung & Anschluesse,CCH,,,,FALSE,,,,,,250,297.5,,0.2,300,,300,7,,,,,-300,"{""specialValue"": ""-Infinity""}",,,,rec7znvZg5sHFa0U2,,,,
rec8MnQoT5JIf2z0M,2025-09-08T15:36:02.000Z,I-59407,,Masterclass-Branding (Logoplatzierung) ,"Logo-Platzierung im Masterclass-Umfeld, präsentiere deine Marke sichtbar in Kommunikation und Raumgestaltung.",,,0,outofstock,Hubspot,Branding ,,,,,,,,,,,,0,,,0,,0,7,,,,,0,"{""specialValue"": ""NaN""}",,,,rec8MnQoT5JIf2z0M,,,,
rec9D61kJYNYJMsw3,2025-06-19T13:25:26.000Z,I-47618,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,0,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,rec9D61kJYNYJMsw3,,,,
rec9Mb23mAtSlFg6b,2025-06-19T13:25:26.000Z,I-68918,Imported,Aperitifbar/Cocktailbar - inkl. Personal (auf Anfrage),"Aperol, Campari oder auch alkoholfrei, wir zaubern euch eine elegante kleine Aperitifbar auf den Stand. Was gibt es besseres als ein gutes Gespräch mit einem leckeren Getränk in der Hand? (Auf Anfrage) - bitte meldet euch bei Konrad ([e-mail entfernt])",5,,5,instock,Messe-Shop,Standgastronomie,Kaefer,,,,TRUE,Visible,,,,publish,0,0,,0.2,0,0,0,7,,,,,0,"{""specialValue"": ""NaN""}",,,,rec9Mb23mAtSlFg6b,drinks.jpg,drimk3.jpg; drinks.jpg; drinks2.jpg,,
rec9enSmrU5gkkKpP,2025-06-20T10:59:41.000Z,I-40065,,WLAN (20 Geräte+),"Erweitertes WLAN-Paket, sichere Verbindung für 20+ Geräte, ideal für größere Teams und Demos.",,,0,outofstock,Hubspot, Infrastruktur – Versorgung & Anschluesse,CCH,,,,FALSE,,,,,,799,950.81,,0.2,958.8,,958.8,7,,,,,-958.8,"{""specialValue"": ""-Infinity""}",,,,rec9enSmrU5gkkKpP,,,,
recAbwzXhXzep29DE,2025-06-19T13:25:26.000Z,I-83681,Imported,Sessel Freistil,"Komfortabler Sessel in edlem Anthrazit mit einer Sitzhöhe von 40 cm. Sein modernes Design und die kompakten Maße (76x82 cm) machen ihn perfekt für Lounge-Bereiche oder Gespräche in entspannter Atmosphäre. Stilvoll, gemütlich und ein echter Blickfang für deinen Messestand.",10,,10,instock,Messe-Shop,Mobiliar ,PartyRent,4981,Sessel Freistil,https://www.party.rent/de/product/sessel-freistil-173-anthrazit-b76-t82-h75-sh40-cm-4981,TRUE,Visible,,,,publish,110.61,131.6259,,0.2,132.732,132.7,132.732,7,,,,,-0.03200000000001069,-0.02411454408440896,,,,recAbwzXhXzep29DE,Freistil.jpg,Freistil.jpg; Freistil1.jpg; Freistil2.jpg,,
recArIvrAGVkLprqB,2025-06-19T13:25:26.000Z,I-96896,Imported,Mülleimer Kickboy,"Stylischer und praktischer Abfallsammler mit Fuß-Klappe. Mit einem Fassungsvermögen von 50 Litern bietet er ausreichend Platz und fügt sich mit seinem schlichten, grauen Design nahtlos in jedes Messedesign ein.",15,,15,instock,Messe-Shop,Technik,PartyRent,2289,Mülleimer Kickboy,https://www.party.rent/de/product/abfallsammler-pushboy-weiß-50-ltr--40-h76-cm-2312,TRUE,Visible,,,,publish,30.11,35.8309,,0.2,36.132,36.1,36.132,7,,,,,-0.031999999999996476,-0.08864265927976864,,,,recArIvrAGVkLprqB,2312 (1).jpg,Image_January_8_2026_2_42_PM-v1.webp; Image_January_8_2026_2_42_PM-v2.webp; Image_January_8_2026_2_42_PM-v3.webp,Image_January_8_2026_2_42_PM-v1.webp; Image_January_8_2026_2_42_PM-v2.webp; Image_January_8_2026_2_42_PM-v3.webp,8011553_P1.jpg
recBjMSeJHPHez7Wd,2025-06-20T10:54:03.000Z,I-31703,Imported,Wlan für 1 Gerät - für 24 Stunden,"Wlan Zugänge sind dieses Jahr aufgrund einer technischen Exklusivität im CCH stark begrenzt, solltet ihr für eines eurer Geräte Wlan benötigen, wählt bitte dieses Produkt, wir senden euch dann einen Zugangscode zu. Bitte beachtet, dass ein Zugang nur für 24 Stunden gültig ist, solltet ihr Wlan über 2 Tage benötigen, bucht bitte dieses Produkt 2x.",150,,150,instock,Messe-Shop,Essentials,CCH,,,,TRUE,Visible,,,,publish,15,17.849999999999998,,0,15,15,15,7,,,,,0,0,,,,recBjMSeJHPHez7Wd,"ChatGPT Image 29. Jan. 2026, 17_59_31.png","ChatGPT Image 29. Jan. 2026, 17_59_31.png",,
recBmEMyA5O2xEPOs,2025-06-23T16:56:03.000Z,I-87007,Imported,Main Stage Speaking,"30 Minuten Slot 
",16,,16,instock,Hubspot,Stage Products,ChefTreff,,,,,,,,,,,0,,0.2,0,14900,0,7,,,,,14900,100,,,,recBmEMyA5O2xEPOs,,,,
recBonPgF7CEi5Uyy,2026-01-07T14:17:09.000Z,I-34028,Imported,Buttercroissants,"Frische Buttercroissants – französischer Flair für euren Stand. Perfekt für ein genussvolles Frühstück oder als Highlight für zwischendurch. 250 Stück pro Tag frisch geliefert (500 insgesamt) Tipp: Bucht euch am besten einen Stehtisch dazu, um die Gebäcke zu präsentieren",5,,5,instock,Messe-Shop,Standgastronomie,Kaefer,581,Croissant Natur,https://www.standcatering-hamburg.com/Produkte/Speisen-CCH/Aus-der-Backstube/Croissant-natur-GASTRO2025,TRUE,Visible,,,,publish,1500,1785,,0.2,1800,1800,1800,7,,,,,0,0,,,,recBonPgF7CEi5Uyy,581_resized.jpg,Image_January_7_2026_4_31_PM-v1.webp; Image_January_7_2026_4_31_PM-v2.webp; Image_January_7_2026_4_31_PM-v3.webp,Image_January_7_2026_4_31_PM-v1.webp; Image_January_7_2026_4_31_PM-v2.webp; Image_January_7_2026_4_31_PM-v3.webp,
recCEwf0YIDPQxZG6,2025-06-19T13:25:26.000Z,I-38048,Imported,Drehstuhl ACC,"Stylischer und bequemer Drehstuhl in weiß und grau. Perfekt für Gespräche oder konzentriertes Arbeiten am Messestand. Mit seiner drehbaren Funktion kombiniert er Komfort und Flexibilität – modernes Design, das Eindruck macht.",13,,13,instock,Messe-Shop,Mobiliar ,PartyRent,4627,Drehstuhl ACC,https://www.party.rent/de/product/drehstuhl-about-a-chair-aac-schwarz-pfeffer-salz-4628,TRUE,Visible,,,,publish,38.51,45.826899999999995,,0.2,46.211999999999996,46.2,46.211999999999996,7,,,,,-0.01199999999999335,-0.025974025974011578,,,,recCEwf0YIDPQxZG6,dreh.jpg,Image_January_8_2026_2_50_PM-v1.webp; Image_January_8_2026_2_50_PM-v2.webp; Image_January_8_2026_2_50_PM-v3.webp,Image_January_8_2026_2_50_PM-v1.webp; Image_January_8_2026_2_50_PM-v2.webp; Image_January_8_2026_2_50_PM-v3.webp,
recCjBEk71nivBi9r,2025-06-19T13:25:26.000Z,I-90328,Imported,Marktstand Bristol,"Ein stilvoller und funktionaler Marktstand mit taupefarbenem Dach, einer stabilen Ablage und drei dekorativen Blenden. Ideal für die Präsentation von Produkten oder als Servicepunkt auf Ihrem Messestand. Hinten geöffnet um Dinge zu lagern.",4,,4,instock,Messe-Shop,Mobiliar ,PartyRent,72262,Marktstand Bristol,"https://www.party.rent/de/product/marktstand-bristol-bornholm-taupe-dach,-1-ablage,-3-blenden-72262",TRUE,Visible,,,,publish,200.91,239.0829,,0.2,241.09199999999998,241.1,241.09199999999998,7,,,,,0.008000000000009777,0.0033181252592325915,,,,recCjBEk71nivBi9r,72262-4.jpg,Image_January_8_2026_2_51_PM-v1.webp; Image_January_8_2026_2_51_PM-v2.webp; Image_January_8_2026_2_51_PM-v3.webp,Image_January_8_2026_2_51_PM-v1.webp; Image_January_8_2026_2_51_PM-v2.webp; Image_January_8_2026_2_51_PM-v3.webp,
recCnLJ0MOPltPg3l,2026-02-02T10:45:29.000Z,I-69384,Imported,Agency Area Partner (Premium) ,Premium-Partner-Platzierung in der Agency Area inkl. Produktion durch ChefTreff,,,0,outofstock,,,,,,,,,,,,,,0,,,0,12900,0,7,,,,,12900,100,,,,recCnLJ0MOPltPg3l,,,,
recD1E5loJ7TUIJni,2025-06-20T10:53:25.000Z,I-30714,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,0,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,recD1E5loJ7TUIJni,,,,
recDBDzHo7P1COMYT,2025-06-20T12:02:07.000Z,I-17840,,"Check-in 1 Banner, einseitig","Einseitiges Banner im Eingangsbereich, platziere deine Marke direkt am Check-in und erreiche alle Besucher beim Eintritt.",,,0,outofstock,Hubspot,Branding ,Fetzer,,,,TRUE,,,,,,1382.4,1645.056,,0.2,1658.88,,1658.88,7,,,,,-1658.88,"{""specialValue"": ""-Infinity""}",,,,recDBDzHo7P1COMYT,,,,
recE5rTO23a9sFpdv,2025-06-19T13:25:26.000Z,I-91878,Imported,TV + Halterung,"44-Zoll-Bildschirm mit höhenverstellbarem Ständer – ideal für Präsentationen, Videos oder interaktive Inhalte.",30,,30,instock,Messe-Shop,Technik,Mavolin,,,,TRUE,Visible,,,,publish,250,297.5,,1,500,500,500,7,,,,,0,0,,,,recE5rTO23a9sFpdv,Design-ohne-Titel-54-1024x1024.png,Image_January_7_2026_4_28_PM-v1.webp; Image_January_7_2026_4_28_PM-v2.webp; Image_January_7_2026_4_28_PM-v3.webp,Image_January_7_2026_4_28_PM-v1.webp; Image_January_7_2026_4_28_PM-v2.webp; Image_January_7_2026_4_28_PM-v3.webp,vogels-wohnzimmer-tv-halterung-wand.webp
recE6ye4ICkL3DCE6,2025-06-20T11:05:06.000Z,I-62157,,Standbeleuchtung (Standard),"Grundbeleuchtung durch Fluter-Scheinwerfer für deinen Messestand – sorgt für eine klare, angenehme Ausleuchtung deiner Fläche.",,,0,outofstock,Hubspot,Nebenkosten,Messebau,,,,,,,,,,255,303.45,,0.2,306,,306,7,,,,,-306,"{""specialValue"": ""-Infinity""}",,; ; ; ,I-39709; I-50131; I-39740; I-91411,recE6ye4ICkL3DCE6,,,,
recE9J1ydagnvGhiY,2025-06-23T16:55:46.000Z,I-33783,Imported,Masterclass,60 Minuten Masterclass,40,,40,instock,Hubspot,Stage Products,ChefTreff,,,,TRUE,,,,,,,0,,0.2,0,7900,0,7,,,,,7900,100,,,,recE9J1ydagnvGhiY,,,,
recEh3JvOE2VS4cFG,2025-06-23T16:51:35.000Z,I-72503,,Logo auf der ChefTreff-Hauptseite,"Platzierung deines Logos auf der offiziellen ChefTreff-Startseite – maximale Sichtbarkeit vor und während des Hackathons.""",,,0,outofstock,Hubspot,Hackathon ,Branding,,,,,,,,,,,0,,0.2,0,,0,7,,,,,0,"{""specialValue"": ""NaN""}",,,,recEh3JvOE2VS4cFG,,,,
recEmBBHg7OPUQHTR,2025-11-16T22:01:24.000Z,I-62740,Imported,Tickets - Investor,Exklusives Investor Ticket inkl. Zugang zum Investor Breakfast ,50,,50,instock,Hubspot,Tickets,,,,,,,,,,,,0,,,0,299,0,7,,,,,299,100,,,,recEmBBHg7OPUQHTR,,,,
recEn8XiAnftoAexo,2025-06-20T10:59:41.000Z,I-38303,,WLAN (bis 5 Geräte),"Stabile Internetverbindung für deinen Stand, Basis-Paket für bis zu 5 Geräte gleichzeitig.""",,,0,outofstock,Hubspot, Infrastruktur – Versorgung & Anschluesse,CCH,,,,FALSE,,,,,,499,593.81,,0.2,598.8,,598.8,7,,,,,-598.8,"{""specialValue"": ""-Infinity""}",,,,recEn8XiAnftoAexo,,,,
recEuqqImeMdCzUSr,2025-06-19T13:25:26.000Z,I-41039,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,0,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,recEuqqImeMdCzUSr,,,,
